"","iso_code","continent","location","date","diabetes_prevalence","cardiovasc_death_rate","total_deaths","total_cases","population_density","median_age"
"162","TZA","Africa","Tanzania","2023-04-12",5.75,217.288,846,42973,64.699,17.7
"163","THA","Asia","Thailand","2023-04-12",7.04,109.861,33940,4728967,135.132,40.1
"164","TLS","Asia","Timor","2023-04-12",6.86,335.346,138,23423,87.176,18
"165","TGO","Africa","Togo","2023-04-12",6.15,280.033,290,39469,143.366,19.4
"166","TON","Oceania","Tonga","2023-04-12",15.42,227.49,12,16814,150.028,22.3
"167","TTO","North America","Trinidad and Tobago","2023-04-12",10.97,228.467,4372,191007,266.886,36.2
"168","TUN","Africa","Tunisia","2023-04-12",8.52,318.991,29363,1152033,74.228,32.7
"169","TUR","Asia","Turkey","2023-04-12",12.13,171.285,101419,17004677,104.914,31.6
"170","UGA","Africa","Uganda","2023-04-12",2.5,213.333,3632,170515,213.759,16.4
"171","UKR","Europe","Ukraine","2023-04-12",7.11,539.849,111789,5484936,77.39,41.4
"172","ARE","Asia","United Arab Emirates","2023-04-12",17.26,317.84,2349,1058979,112.442,34
"173","GBR","Europe","United Kingdom","2023-04-12",4.28,122.137,212083,24330379,272.898,40.8
"174","USA","North America","United States","2023-04-12",10.79,151.089,1118800,102873924,35.608,38.3
"175","VIR","North America","United States Virgin Islands","2023-04-12",12.26,273.67,130,24886,306.48,42.2
"176","URY","South America","Uruguay","2023-04-12",6.93,160.708,7621,1036159,19.751,35.6
"177","UZB","Asia","Uzbekistan","2023-04-12",7.57,724.417,1637,252265,76.134,28.2
"178","VUT","Oceania","Vanuatu","2023-04-12",12.02,546.3,14,12014,22.662,23.1
"179","VEN","South America","Venezuela","2023-04-12",6.47,204.85,5854,552398,36.253,29
"180","VNM","Asia","Vietnam","2023-04-12",6,245.465,43186,11527745,308.127,32.6
"181","OWID_WRL","","World","2023-04-12",8.51,233.07,6897012,762790388,58.045,30.9
"182","YEM","Asia","Yemen","2023-04-12",5.35,495.003,2159,11945,53.508,20.3
"183","ZMB","Africa","Zambia","2023-04-12",3.94,234.499,4057,343415,22.995,17.7
"184","ZWE","Africa","Zimbabwe","2023-04-12",1.82,307.846,5684,264584,42.729,19.6
