"","location_key","life_expectancy","smoking_prevalence","diabetes_prevalence","infant_mortality_rate","adult_male_mortality_rate","adult_female_mortality_rate","pollution_mortality_rate","comorbidity_mortality_rate","hospital_beds_per_1000","nurses_per_1000","physicians_per_1000","health_expenditure_usd","out_of_pocket_health_expenditure_usd"
"219","ID",71.509,39.4,6.3,21.1,177.539,125.668,112.4,26.4,1.2,2.4149,0.4269,114.971786,39.786812
"220","IE",82.3,24.3,3.2,3.1,71.299,41.591,11.9,10.3,NA,16.0996,3.3125,4976.862305,611.214233
"221","IL",82.802439,25.2,9.7,3,70.873,39.638,15.4,9.6,NA,5.7002,4.6249,3144.626221,699.707214
"222","IM",77.96585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","IN",69.416,11.5,10.4,29.9,203.623,147.161,184.3,23.3,NA,1.7271,0.8571,69.293098,43.239937
"224","IQ",70.454,NA,8.8,22.5,185.811,129.1,75.1,21.3,NA,2.0448,0.7079,210.313705,122.072998
"225","IR",76.479,11,9.6,12.4,83.386,49.574,50.9,14.8,NA,2.6286,1.5844,475.47995,198.544067
"226","IS",82.9,14.7,5.8,1.5,65.669,38.181,8.7,9.1,NA,16.2132,4.0778,6086.311523,1003.047241
"227","IT",83.4,23.7,5,2.6,NA,NA,15,9.5,NA,5.7401,3.9774,2840.130615,667.027588
"228","IT_21",83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","IT_23",82.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","IT_25",84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","IT_34",84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","IT_36",83.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","IT_42",83.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","IT_45",83.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","IT_52",84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","IT_55",84.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","IT_57",84.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","IT_62",83.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","IT_65",83.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","IT_67",83.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","IT_72",81.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","IT_75",83.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","IT_77",83.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","IT_78",83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","IT_82",82.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","IT_88",83.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","IT_BZ",84.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","IT_TN",84.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","JM",74.368,16.8,11.3,12.4,175.464,104.39,25.4,14.7,NA,0.8068,1.3061,307.196045,52.928936
"250","JO",74.405,NA,12.7,13.9,123.898,89.001,51.2,19.2,1.4,2.8212,2.3237,340.661804,103.654625
"251","JP",84.210976,22.1,5.6,1.8,66.483,35.709,11.9,8.4,NA,12.1531,2.4115,4168.986328,535.619568
"252","KE",66.342,10.7,3.1,30.6,264.72,194.507,78.1,13.4,NA,1.1656,0.1565,76.610321,18.419661
"253","KG",71.4,26.5,6.1,16.9,210.663,94.014,110.7,24.9,NA,NA,NA,78.822838,44.43766
"254","KH",69.57,17.2,6.4,24,199.971,132.376,149.8,21.1,0.8,0.6855,NA,82.075867,49.603271
